tic,date,gvkeyx,Closing Price,Daily High,Daily Low
I0003,29-12-23,3,4769.83,4788.43,4751.99
I0003,28-12-23,3,4783.35,4793.3,4780.98
I0003,27-12-23,3,4781.58,4785.39,4768.9
I0003,26-12-23,3,4774.75,4784.72,4758.45
I0003,22-12-23,3,4754.63,4772.94,4736.77
I0003,21-12-23,3,4746.75,4748.71,4708.35
I0003,20-12-23,3,4698.35,4778.01,4697.82
I0003,19-12-23,3,4768.37,4768.69,4743.72
I0003,18-12-23,3,4740.56,4749.52,4725.58
I0003,15-12-23,3,4719.19,4725.53,4704.69
I0003,14-12-23,3,4719.55,4738.57,4694.34
I0003,13-12-23,3,4707.09,4709.69,4643.23
I0003,12-12-23,3,4643.7,4643.93,4608.09
I0003,11-12-23,3,4622.44,4623.71,4593.39
I0003,08-12-23,3,4604.37,4609.23,4574.06
I0003,07-12-23,3,4585.59,4590.92,4565.22
I0003,06-12-23,3,4549.34,4590.74,4546.5
I0003,05-12-23,3,4567.18,4578.56,4551.68
I0003,04-12-23,3,4569.78,4572.37,4546.72
I0003,01-12-23,3,4594.63,4599.39,4554.71
I0003,30-11-23,3,4567.8,4569.89,4537.24
I0003,29-11-23,3,4550.58,4587.64,4547.15
I0003,28-11-23,3,4554.89,4568.14,4540.51
I0003,27-11-23,3,4550.43,4560.52,4546.32
I0003,24-11-23,3,4559.34,4560.31,4552.8
I0003,22-11-23,3,4556.62,4568.43,4545.05
I0003,21-11-23,3,4538.19,4542.14,4525.51
I0003,20-11-23,3,4547.38,4557.11,4510.36
I0003,17-11-23,3,4514.02,4520.12,4499.66
I0003,16-11-23,3,4508.24,4511.99,4487.83
I0003,15-11-23,3,4502.88,4521.17,4495.31
I0003,14-11-23,3,4495.7,4508.67,4458.97
I0003,13-11-23,3,4411.55,4421.76,4393.82
I0003,10-11-23,3,4415.24,4418.03,4353.34
I0003,09-11-23,3,4347.35,4393.4,4343.94
I0003,08-11-23,3,4382.78,4391.2,4359.76
I0003,07-11-23,3,4378.38,4386.26,4355.41
I0003,06-11-23,3,4365.98,4372.21,4347.53
I0003,03-11-23,3,4358.34,4373.62,4334.23
I0003,02-11-23,3,4317.78,4319.72,4268.26
I0003,01-11-23,3,4237.86,4245.64,4197.74
I0003,31-10-23,3,4193.8,4195.55,4153.12
I0003,30-10-23,3,4166.82,4177.47,4132.94
I0003,27-10-23,3,4117.37,4156.7,4103.78
I0003,26-10-23,3,4137.23,4183.6,4127.9
I0003,25-10-23,3,4186.77,4232.42,4181.42
I0003,24-10-23,3,4247.68,4259.38,4219.43
I0003,23-10-23,3,4217.04,4255.84,4189.22
I0003,20-10-23,3,4224.16,4276.56,4223.03
I0003,19-10-23,3,4278,4339.54,4269.69
I0003,18-10-23,3,4314.6,4364.2,4303.84
I0003,17-10-23,3,4373.2,4393.57,4337.54
I0003,16-10-23,3,4373.63,4383.33,4342.37
I0003,13-10-23,3,4327.78,4377.1,4311.97
I0003,12-10-23,3,4349.61,4385.85,4325.43
I0003,11-10-23,3,4376.95,4378.64,4345.34
I0003,10-10-23,3,4358.24,4385.46,4339.64
I0003,09-10-23,3,4335.66,4341.73,4283.79
I0003,06-10-23,3,4308.5,4324.1,4219.55
I0003,05-10-23,3,4258.19,4267.13,4225.91
I0003,04-10-23,3,4263.75,4268.5,4220.48
I0003,03-10-23,3,4229.45,4281.15,4216.45
I0003,02-10-23,3,4288.39,4300.58,4260.21
I0003,29-09-23,3,4288.05,4333.15,4274.86
I0003,28-09-23,3,4299.7,4317.27,4264.38
I0003,27-09-23,3,4274.51,4292.07,4238.63
I0003,26-09-23,3,4273.53,4313.01,4265.98
I0003,25-09-23,3,4337.44,4338.51,4302.7
I0003,22-09-23,3,4320.06,4357.4,4316.49
I0003,21-09-23,3,4330,4375.7,4329.17
I0003,20-09-23,3,4402.2,4461.03,4401.38
I0003,19-09-23,3,4443.95,4449.85,4416.61
I0003,18-09-23,3,4453.53,4466.36,4442.11
I0003,15-09-23,3,4450.32,4497.98,4447.21
I0003,14-09-23,3,4505.1,4511.99,4478.69
I0003,13-09-23,3,4467.44,4479.39,4453.52
I0003,12-09-23,3,4461.9,4487.11,4456.83
I0003,11-09-23,3,4487.46,4490.77,4467.89
I0003,08-09-23,3,4457.49,4473.53,4448.38
I0003,07-09-23,3,4451.14,4457.81,4430.46
I0003,06-09-23,3,4465.48,4490.35,4442.38
I0003,05-09-23,3,4496.83,4514.29,4496.01
I0003,01-09-23,3,4515.77,4541.25,4501.35
I0003,31-08-23,3,4507.66,4532.26,4507.39
I0003,30-08-23,3,4514.87,4521.65,4493.59
I0003,29-08-23,3,4497.63,4500.14,4431.68
I0003,28-08-23,3,4433.31,4439.56,4414.98
I0003,25-08-23,3,4405.71,4418.46,4356.29
I0003,24-08-23,3,4376.31,4458.3,4375.55
I0003,23-08-23,3,4436.01,4443.18,4396.44
I0003,22-08-23,3,4387.55,4418.59,4382.77
I0003,21-08-23,3,4399.77,4407.55,4360.3
I0003,18-08-23,3,4369.71,4381.82,4335.31
I0003,17-08-23,3,4370.36,4421.17,4364.83
I0003,16-08-23,3,4404.33,4449.95,4403.55
I0003,15-08-23,3,4437.86,4478.87,4432.19
I0003,14-08-23,3,4489.72,4490.33,4453.44
I0003,11-08-23,3,4464.05,4476.23,4443.98
I0003,10-08-23,3,4468.83,4527.37,4457.92
I0003,09-08-23,3,4467.71,4502.44,4461.33
I0003,08-08-23,3,4499.38,4503.31,4464.39
I0003,07-08-23,3,4518.44,4519.84,4491.15
I0003,04-08-23,3,4478.03,4540.34,4474.55
I0003,03-08-23,3,4501.89,4519.49,4485.54
I0003,02-08-23,3,4513.39,4550.93,4505.75
I0003,01-08-23,3,4576.73,4584.62,4567.53
I0003,31-07-23,3,4588.96,4594.22,4573.14
I0003,28-07-23,3,4582.23,4590.16,4564.01
I0003,27-07-23,3,4537.41,4607.07,4528.56
I0003,26-07-23,3,4566.75,4582.47,4547.58
I0003,25-07-23,3,4567.46,4580.62,4552.42
I0003,24-07-23,3,4554.64,4563.41,4541.29
I0003,21-07-23,3,4536.34,4555,4535.79
I0003,20-07-23,3,4534.87,4564.74,4527.56
I0003,19-07-23,3,4565.72,4578.43,4557.48
I0003,18-07-23,3,4554.98,4562.3,4514.59
I0003,17-07-23,3,4522.79,4532.85,4504.9
I0003,14-07-23,3,4505.42,4527.76,4499.56
I0003,13-07-23,3,4510.04,4517.38,4489.36
